Year,Location,Name,Country,Medal,GP,Goals,Assists,Points,PIM
2026,"Milan-Cortina, Italy",Macklin Celebrini,Canada,,4,5,4,9,4
2002,"Salt Lake City, Utah",Scott Young,United States,Silver,6,4,0,4,2
1994,"Lillehammer, Norway",Dave Sacco (A),United States,,8,3,5,8,12
1980,"Lake Placid, N.Y.",Mike Eruzione (C),United States,Gold,7,3,2,5,2
1980,"Lake Placid, N.Y.",Dick Decloe,Netherlands,,5,3,2,5,6
1972,"Sapporo, Japan",Herb Wakabayashi,Japan,,5,3,1,4,2
1984,"Sarajevo, Yugoslavia",Grant Goegan,Italy,,5,3,1,4,4
1994,"Lillehammer, Norway",John Lilley,United States,,8,3,1,4,16
1976,"Innsbruck, Austria",Herb Wakabayashi,Japan,,6,2,3,5,0
1980,"Lake Placid, N.Y.",Dave Silk,United States,Gold,7,2,3,5,0
1952,"Oslo, Norway","Joseph ""Red"" Czarnota",United States,Silver,8,2,2,4,35
2002,"Salt Lake City, Utah",Tony Amonte,United States,Silver,6,2,2,4,0
1936,"Garmisch-Portenkirchen, Germany",Paul Rowe,United States,Bronze,8,2,1,3,2
1988,"Calgary, Alberta, Canada",Clark Donatelli,United States,,6,2,1,3,6
1988,"Calgary, Alberta, Canada",Scott Young,United States,,8,2,1,3,2
1992,"Albertville, France",Clark Donatelli (C),United States,,8,2,1,3,6
1992,"Albertville, France",Scott Young,United States,,8,2,1,3,2
2026,"Milan-Cortina, Italy",Brady Tkachuk,United States,,4,2,1,3,
2002,"Salt Lake City, Utah",Keith Tkachuk,United States,Silver,5,2,0,2,2
2010,"Vancouver, Canada",Chris Drury,United States,Silver,6,2,0,2,0
2026,"Milan-Cortina, Italy",Jack Eichel,United States,,4,1,3,4,
1948,"St. Moritz, Switzerland",Jack Garrity,United States,,3,1,1,2,4
1960,"Squaw Valley, California",Dick Rodenhiser,United States,Gold,5,1,1,2,0
1992,"Albertville, France",Keith Tkachuk,United States,,8,1,1,2,12
1932,"Lake Placid, N.Y.",Gordon Smith,United States,Silver,1,1,0,1,0
1936,"Garmisch-Portenkirchen, Germany",Gordon Smith,United States,Bronze,8,1,0,1,0
1992,"Albertville, France",Shawn McEachern,United States,,8,1,0,1,10
2018,"Pyeongchang, South Korea",Jordan Greenway,United States,,5,1,0,1,10
2014,"Sochi, Russia",Kevin Shattenkirk,United States,,6,0,3,3,0
1976,"Innsbruck, Austria",Dick Lamby,United States,,5,0,2,2,10
1992,"Albertville, France",Joe Sacco,United States,,8,0,2,2,0
1998,"Nagano, Japan",Keith Tkachuk (A),United States,,4,0,2,2,6
2018,"Pyeongchang, South Korea",Chris Bourque,United States,,5,0,2,2,2
1980,"Lake Placid, N.Y.",Jack O'Callahan,United States,Gold,5,0,1,1,2
1992,"Albertville, France",Scott Lachance,United States,,8,0,1,1,6
1998,"Nagano, Japan",Tony Amonte,United States,,4,0,1,1,4
2002,"Salt Lake City, Utah",Tom Poti,United States,Silver,6,0,1,1,4
2018,"Pyeongchang, South Korea",Matt Gilroy (A),United States,,5,0,1,1,2
2022,"Beijing, China",Brandon Yip (C),China,,4,0,1,1,4
1936,"Garmisch-Portenkirchen, Germany",John Lax,United States,Bronze,3,0,0,0,2
1956,"Cortina, Italy",Don Rigazio,United States,Silver,0,0,0,0,0
1956,"Cortina, Italy",Dick Rodenhiser,United States,Silver,1,0,0,0,0
1968,"Grenoble, France",Olivier Prechac,France,,5,0,0,0,0
1972,"Sapporo, Japan",Tim Regan,United States,Silver,0,0,0,0,0
1980,"Lake Placid, N.Y.",Jim Craig,United States,Gold,0,0,0,0,0
1980,"Lake Placid, N.Y.",Herb Wakabayashi (C),Japan,,1,0,0,0,0
1994,"Lillehammer, Norway",Adrian Aucoin,Canada,Silver,4,0,0,0,2
2002,"Salt Lake City, Utah",Chris Drury,United States,Silver,6,0,0,0,0
2006,"Turin, Italy",Rick DiPietro,United States,,0,0,0,0,0
2006,"Turin, Italy",Chris Drury,United States,,6,0,0,0,0
2006,"Turin, Italy",Keith Tkachuk (A),United States,,6,0,0,0,8
2010,"Vancouver, Canada",Ryan Whitney,United States,Silver,6,0,0,0,0
2018,"Pyeongchang, South Korea",John McCarthy,United States,,5,0,0,0,2
2022,"Beijing, China",Drew Commesso,United States,,0,0,0,0,0
2022,"Beijing, China",David Warsofsky,United States,,4,0,0,0,0
2026,"Milan-Cortina, Italy",Charlie McAvoy (A),United States,,4,0,0,0,
2026,"Milan-Cortina, Italy",Clayton Keller,United States,,3,0,0,0,
2026,"Milan-Cortina, Italy",Jake Oettinger,United States,,,,,,
